title, date
My Billionaire Triceratops Craves Gay Ass, December 9 2014
Pounded by President Bigfoot,December 10 2014
Taken by the Gay Unicorn Biker,December 11 2014
Gay T-Rex Law Firm: Executive Boner ,January 9 2015
Space Raptor Butt Invasion ,January 11 2015
My Ass Is Haunted by the Gay Unicorn Colonel ,January 19 2015
Pounded by the Gay Unicorn Football Squad ,January 25 2015
I'm Gay for My Living Billionaire Jet Plane ,January 28 2015
Bigfoot Sommelier Butt Tasting ,February 2 2015
Unicorn Butt Cops: Beach Patrol ,February 8 2015
Seduced by Doctor Bigfoot: Attorney at Large ,February 10 2015
Trained by the Living Biker Train ,February 16 2015
Pounded by the Gay Color Changing Dress ,February 27 2015
Turned Gay by the Living Alpha Diner ,March 3 2015
Glazed by the Gay Living Donuts ,March 7 2015
Anally Yours the Unicorn Sailor ,March 16 2015
Pounded in the Butt by My Own Butt ,March 19 2015
Top Horn: Turned Gay by the Unicorn Pilots ,March 21 2015
Pounded in the Butt by My Book "Pounded in the Butt by My Own Butt" ,March 29 2015
Bigfoot Pirates Haunt My Balls ,April 6 2015
Gaygent Brontosaurus: The Butt Is Not Enough ,April 14 2015
Vampire Night Bus Pounds My Butt ,April 19 2015
Shared by the Chocolate Milk Cowboys ,April 26 2015
Reamed by My Reaction to the Title of This Book ,May 2 2015
The Curse of Bigfoot Butt Camp ,May 11 2015
Professor T-Rex Teaches Me Gayness ,May 23 2015
Bigfoot Settlers Claim My Butthole ,May 28 2015
Lonely Author Pounded by Dinosaur Social Media Followers ,May 31 2015
Angry Man Pounded by the Fear of His Latent Gayness over a Dinosaur Transitioning into a Unicorn ,June 2 2015
Slammed up the Butt by My Hot Coffee Boss ,June 19 2015
Hunter Dentist Pounded in the Butt by Cecil the Handsome Unicorn ,July 31 2015
The State of California Stalks My Gay Butthole ,August 3 2015
Pounded in the Butt by My Leaked Mashly Addison Data ,August 21 2015
President Domald Loch Ness Tromp Pounds America's Butt ,September 12 2015
Happy Birthday Frankenstein Now Pound My Butt ,October 5 2015
Dan Bigfootzerian Parties in My Butthole with His Billionaire Lifestyle ,October 27 2015
Oppressed in the Butt by My Inclusive Holiday Coffee Cups ,November 10 2015
Monday Pounds Me in the Butt ,November 26 2015
Pounded in the Butt by My Book "Pounded in the Butt by My Book 'Pounded in the Butt by My Own Butt'" ,December 5 2015
Pharma Bro Pounded in the Butt by T-Rex Comedian Bill Murky and a Clan of Triceratops Rappers Trying to Get Their Album Back ,December 10 2015
Dinosaur Magicians Pinn and Tucker Make Their Wieners Disappear in My Butt ,December 16 2015
Eight Bigfoot Buckaroos Hate My Butt and Pound It ,December 28 2015
Creamed in the Butt by My Handsome Living Corn ,January 2 2016
Slammed in the Butthole by My Concept of Linear Time ,January 5 2016
Pounded in the Butt by My Book "Pounded in the Butt by My Book 'Pounded in the Butt by My Book "Pounded in the Butt by My Own Butt"'" ,January 18 2016
Turned Gay by the Existential Dread That I May Actually Be a Character in a Chuck Tingle Book ,January 30 2016
Leonardo Decaprico Finally Wins His Award And It Pounds Him in the Butt ,February 10 2016
Slammed in the Butt by the Living Leftover Chocolate Chip Cookies from My Kitchen Cabinet ,February 21 2016
Living Inside My Own Butt for Eight Years Starting a Business and Turning a Profit Through Common Sense Reinvestment and Strategic Targeted Marketing ,March 11 2016
This American Butt Hosted by Ira Ass ,March 21 2016
Feeling the Bern in My Butt ,April 8 2016
Slammed in the Butt by My Hugo Award Nomination ,April 26 2016
Space Raptor Butt Redemption ,April 28 2016
Pounded in the Butt by My Irrational Bigoted Fear of Humans Who Were Born as Unicorns Using a Human Restroom ,May 3 2016
Pounded in the Butt by My Book "Pounded in the Butt by My Book 'Pounded in the Butt by My Book "Pounded in the Butt by My Book 'Pounded in the Butt by My Own Butt'"'" ,May 8 2016
Pounded by My Handsome Ghost Boats ,May 18 2016
Schrodinger's Butt ,June 18 2016
Pounded by the Pound: Turned Gay by the Socioeconomic Implications of Britain Leaving the European Union ,June 24 2016
Slammed by the Substantial Amount of Press Generated by My Book "Pounded by the Pound: Turned Gay by the Socioeconomic Implications of Britain Leaving the European Union" ,July 2 2016
Space Raptor Butt Ascension ,July 8 2016
Pokebutt Go: Pounded by 'Em All ,July 10 2016
Slammed in the Butt by Domald Tromp's Attempt to Avoid Accusations of Plagiarism by Removing All Facts or Concrete Plans from His Republican National Convention Speech ,July 21 2016
First Buckaroo Bill Pounded by the Handsome Living White House ,August 5 2016
Stranger Pounds ,August 7 2016
Pounded in the Butt by My Hugo Award Loss ,August 20 2016
Kissed on the Weiner by My Own Weiner ,August 28 2016
Slammed in the Butt by My Smartphone's Missing Headphone Jack ,September 9 2016
Butt Wars: Rogue Buns ,September 19 2016
Brangelina Splits Apart and then Pounds Their Own Butt ,September 20 2016
Pounded in the Butt by My Constantly Changing Thoughts on the Ongoing Mystery of Chuck Tingle's Real Identity ,October 18 2016
Slammed in the Butt by the Handsome Sentient Manifestation of Election Day ,October 28 2016
Hard for Hardwick: Pounded in the Butt by the Physical Manifestation of My Own Handsome Late Night Comedy Show ,November 17 2016
Chef Woolly Mammoth Eats My Butt ,November 21 2016
Fake News Real Boners ,December 11 2016
Pounded in the Butt by the Sentient Physical Manifestation of the Year 2016 ,December 26 2016
Domald Tromp Pounded in the Butt by the Handsome Russian T-Rex Who Also Peed on His Butt and then Blackmailed Him with the Videos of His Butt Getting Peed on ,January 10 2017
Slammed in the Butt by the Prehistoric Megalodon Shark amid Accusations of Jumping over Him ,January 15 2017
Redacted in the Butt by Redacted Under the Tromp Administration ,January 27 2017
Butt Butt Land: Ryan Goslins and the City of Butts ,February 5 2017
Open Wide for the Handsome Sabertooth Dentist Who Is also a Ghost ,February 18 2017
Pounded by the Sentient Manifestation of My Incorrectly Announced Best Picture Winner ,February 26 2017
